"X","Neighborhood","Neighborhood.Latitude","Neighborhood.Longitude","Venue","Venue.Latitude","Venue.Longitude","Venue.Category"
1,"Bangalore",12.8455991428571,77.5766692857143,"Cafe Pascucci",12.8897474125542,77.5819060206413,"Café"
2,"Bangalore",12.8455991428571,77.5766692857143,"Intalia",12.8760849816358,77.5955237547218,"Pizza Place"
3,"Bangalore",12.8455991428571,77.5766692857143,"Domino's Pizza",12.888,77.585,"Pizza Place"
4,"Bangalore",12.8455991428571,77.5766692857143,"TGI Fridays",12.8757045270105,77.5950878097839,"American Restaurant"
14,"Bangalore",12.8992322857143,77.5084858571429,"Domino's Pizza",12.9288315733019,77.5184350076896,"Pizza Place"
15,"Bangalore",12.8992322857143,77.5084858571429,"Pizza Hut",12.928891,77.51845,"Pizza Place"
16,"Bangalore",12.8992322857143,77.5084858571429,"Pizza Hut",12.9253799918083,77.5172910958585,"Pizza Place"
17,"Bangalore",12.8992322857143,77.5084858571429,"Domino's Pizza",12.925,77.542,"Pizza Place"
18,"Bangalore",12.8992322857143,77.5084858571429,"Domino's Pizza",12.9109010557045,77.5514476475717,"Pizza Place"
19,"Bangalore",12.8992322857143,77.5766692857143,"Vinny's",12.9244390934994,77.5648483551423,"Pizza Place"
20,"Bangalore",12.8992322857143,77.5766692857143,"Cafe Pascucci",12.9064394578748,77.5918362242764,"Café"
21,"Bangalore",12.8992322857143,77.5766692857143,"Pizza Hut",12.9047740670871,77.5733650515438,"Pizza Place"
22,"Bangalore",12.8992322857143,77.5766692857143,"Onesta",12.9060545895929,77.5969034484713,"Italian Restaurant"
23,"Bangalore",12.8992322857143,77.5766692857143,"Domino's Pizza Jayanagar 4th T Block",12.9220067190854,77.5859326153346,"Pizza Place"
24,"Bangalore",12.8992322857143,77.5766692857143,"Cafe Pascucci",12.8897474125542,77.5819060206413,"Café"
25,"Bangalore",12.8992322857143,77.5766692857143,"Pizza Hut",12.9308322166704,77.5831916597847,"Pizza Place"
26,"Bangalore",12.8992322857143,77.5766692857143,"Eurasia",12.9273309544613,77.5771349210269,"Italian Restaurant"
27,"Bangalore",12.8992322857143,77.5766692857143,"Pizza Hut",12.9245150074597,77.5644967155131,"Pizza Place"
28,"Bangalore",12.8992322857143,77.5766692857143,"Caffe Pascucci",12.9272407534421,77.5862372774342,"Café"
29,"Bangalore",12.8992322857143,77.5766692857143,"Pizza Stop",12.9055497770117,77.595058805546,"Pizza Place"
30,"Bangalore",12.8992322857143,77.5766692857143,"Once Upon a Rooftop",12.9254311941687,77.5836609833411,"Restaurant"
31,"Bangalore",12.8992322857143,77.5766692857143,"Brewsky",12.9065209490157,77.5896036168927,"Brewery"
32,"Bangalore",12.8992322857143,77.5766692857143,"Domino's Pizza",12.8939585062073,77.5681576531893,"Pizza Place"
33,"Bangalore",12.8992322857143,77.5766692857143,"Cable Car",12.9169512579093,77.5854893084485,"Italian Restaurant"
34,"Bangalore",12.8992322857143,77.5766692857143,"Domino's Pizza",12.9243337195455,77.5654659183963,"Pizza Place"
35,"Bangalore",12.8992322857143,77.5766692857143,"Domino's Pizza",12.9198065,77.61234,"Pizza Place"
36,"Bangalore",12.8992322857143,77.5766692857143,"Pizza Hut",12.8894204378381,77.5974937952072,"Pizza Place"
37,"Bangalore",12.8992322857143,77.5766692857143,"Skyline Pizzeria",12.906272,77.577623,"Pizza Place"
38,"Bangalore",12.8992322857143,77.5766692857143,"Intalia",12.8760849816358,77.5955237547218,"Pizza Place"
39,"Bangalore",12.8992322857143,77.5766692857143,"Ragoo's",12.9337564533481,77.5737960428556,"Pizza Place"
40,"Bangalore",12.8992322857143,77.5766692857143,"Domino's Pizza",12.888,77.585,"Pizza Place"
41,"Bangalore",12.8992322857143,77.5766692857143,"Pizza Hut",12.9249590640941,77.5507554121229,"Pizza Place"
42,"Bangalore",12.8992322857143,77.5766692857143,"Domino's Pizza",12.8900171803353,77.5978519154412,"Pizza Place"
43,"Bangalore",12.8992322857143,77.5766692857143,"The Pizzeria",12.9071014479437,77.5949925173227,"Pizza Place"
44,"Bangalore",12.8992322857143,77.5766692857143,"My Tea House",12.9230855248238,77.5560320872346,"Tea Room"
45,"Bangalore",12.8992322857143,77.5766692857143,"Euki",12.92327,77.585839,"Pizza Place"
46,"Bangalore",12.8992322857143,77.5766692857143,"Papa John's",12.9118387648123,77.5999390625072,"Pizza Place"
47,"Bangalore",12.8992322857143,77.5766692857143,"Onesta",12.924245,77.56417,"Pizza Place"
