"name","lat","lon","pop","area","rest_count","pizza_count"
"Bharathi Nagar",12.987014409491,77.6110403571514,32632,0.78,2,0
"Shivaji Nagar",12.9887016750541,77.6058728426691,35740,0.43,0,0
"Vasanth Nagar",12.9891311126017,77.5858046982688,25632,3.12,36,3
"Shantala Nagar",12.9698666568526,77.6064642945921,30225,3.99,98,15
"Domlur",12.9633614843384,77.6380404127316,34703,1.75,19,10
"Agaram",12.9442634034865,77.6390466853178,35632,11.26,6,0
"Vannarpet",12.9542092834691,77.61894093987,35532,0.74,0,0
"Nilasandra",12.9511599438781,77.614644130188,36279,0.54,0,0
"Shanthi Nagar",12.9573236548961,77.603705049467,36426,2.7,3,0
"Jogupalya",12.973724534752,77.6325939694915,34611,0.91,4,2
"Chickpete",12.9706877407971,77.5770978874836,33698,0.71,2,0
"Cottonpete",12.9703588123314,77.5662871520615,36582,0.76,0,0
"Binnipete",12.9717984207048,77.5590969095086,33946,0.77,0,0
"Dattatreya Temple",12.9965554677515,77.5741380029964,34236,0.71,1,0
"Gandhinagar",12.9815648080642,77.5756650129311,35310,1.93,15,0
"Subhash Nagar",12.9826668015183,77.5686274619372,35427,1.32,24,3
"Okalipuram",12.9827837272182,77.563816623965,35875,0.83,0,0
"Basaveshwara Nagar",12.9908084449253,77.5421301173104,27002,0.84,6,0
"Kamakshipalya",12.9867975705395,77.5338707039502,25742,0.91,3,0
"Shivanagara",12.9885035896526,77.5495200478752,35979,0.78,7,0
"Sriramamandir",12.9837673095898,77.5558908790906,33613,1.06,1,0
"Dayananda Nagar",12.9910970569635,77.5641946734242,34595,0.45,0,0
"Prakash Nagar",12.9930942205099,77.5582212219401,35465,0.56,3,0
"Rajaji Nagar",12.9945988368238,77.5501925896872,33231,0.86,0,2
"Kaveripura",12.9797422678665,77.5248978783418,35256,1.64,1,0
"Govindaraja Nagar",12.9771164127201,77.5366824799528,25773,0.77,1,0
"Agrahara Dasarahalli",12.9804974028429,77.5415353943762,26857,0.8,0,0
"Dr. Raj Kumar Ward",12.979654172134,77.5484753583426,24752,0.99,0,0
"Marenahalli",12.9718892616902,77.5328436441007,20068,0.69,4,1
"Maruthi Mandir ward",12.9667105528406,77.5284643519759,21784,0.79,1,0
"Mudalapalya",12.9692392151885,77.521640582415,24487,0.98,0,0
"Nagarabhavi",12.9558427307937,77.519366146173,20269,1.6,1,0
"Nayandahalli",12.9451408764406,77.5199607392573,22878,2.07,0,0
"Kempapura Agrahara",12.9723126235624,77.5554793838085,33736,0.36,0,0
"Vijayanagar",12.9720925542614,77.5470438346722,36077,0.73,3,2
"Hosahalli",12.9676691462426,77.5438119924571,32103,0.89,1,0
"Attiguppe",12.9581117077057,77.5293089282806,26806,1.39,0,1
"Hampi Nagar",12.959949194647,77.5376145866468,30355,1.11,2,0
"Bapuji Nagar",12.9579760999735,77.5432214136966,36234,0.68,0,0
"Gali Anjenaya Temple ward",12.9501592455071,77.5446560301153,27264,1.14,0,0
"Deepanjali Nagar",12.9445404293539,77.5362326389086,30924,2.09,0,0
"Padarayanapura",12.9637025463239,77.5488120504647,35213,0.31,0,0
"Jagajivanaramnagar",12.9605447475681,77.5519414463642,33758,0.63,0,0
"Rayapuram",12.9649880815167,77.5563781786261,32949,0.45,0,0
"Chalavadipalya",12.9645793210376,77.5644482281296,25319,0.4,0,0
"K R Market",12.9639680609056,77.5718004624152,28514,0.81,0,0
"Chamrajapet",12.9581840004128,77.5637756014863,33398,1.03,1,0
"Azad Nagar",12.9547171397323,77.554027303718,35741,0.67,0,0
"Sudham Nagara",12.9593349100093,77.586192712433,32202,1.01,8,0
"Dharmaraya Swamy Temple",12.963133327422,77.580510578405,33199,1.1,6,0
"Sunkenahalli",12.9486914803666,77.5678744056857,36158,1.49,9,0
"Vishveshwara Puram",12.9504863664593,77.5798830579196,36093,2.47,12,0
"Siddapura",12.9438446355212,77.5930164521246,32194,0.66,1,0
"Hombegowda Nagara",12.9505957757457,77.5948740249626,36455,1.41,8,0
"Jayanagar",12.9376337000747,77.5894196695984,35963,2.5,5,0
"Hanumanth Nagar",12.9471215024395,77.5598838663128,35065,0.99,0,0
"Srinagar",12.9453275336224,77.5534943697637,36045,0.8,0,0
"Basavanagudi",12.9373753661626,77.5687334210958,36015,1.17,10,1
"Girinagar",12.9376240163993,77.5455754936583,34912,1.77,1,0
"Katriguppe",12.9316414559219,77.5522232871992,35736,1.11,0,1
"Vidyapeeta ward",12.9342004520233,77.5594762586734,34535,34535,3,0
"Hosakerehalli",12.9277969317167,77.5395058294504,21185,1.34,2,1
"Ganesh Mandir ward",12.9248031449056,77.5640458573888,23101,1.63,9,5
"Karisandra",12.9243524235242,77.5740169457256,30206,1.1,15,1
"Yediyur",12.934251739139,77.5760804828518,34591,1.23,6,3
"Banashankari Temple ward",12.9133515290769,77.5698323279022,34022,0.68,0,0
"Kumaraswamy Layout",12.9069901964838,77.5618576805592,35384,1.87,7,0
"Padmanabha Nagar",12.9135013256266,77.5560571929402,25454,1.68,5,0
"Lakkasandra",12.9411090124204,77.6048043772362,28303,1.29,8,1
"Adugodi",12.9432388832612,77.6130791124901,29945,1.6,12,3
"Ejipura",12.9423159169765,77.6270336149298,29105,1.61,9,4
"Koramangala",12.9313404051701,77.6246494460865,35359,3.71,51,35
"Suddagunte Palya",12.92997135113,77.6082147179137,35910,1.74,13,1
"Sarakki",12.9079402946364,77.5829497522443,26707,1.34,18,4
"Jakkasandra",12.9205909717835,77.6309886977238,24088,1.52,8,0
"BTM Layout",12.9118377209653,77.6093452875564,34436,2.13,25,0
"Pattabhiram Nagar",12.9245450128768,77.5875454398899,30989,1.75,26,3
"Byrasandra",12.9315978380753,77.5889403697453,30638,0.87,13,0
"Shakambari Nagar",12.9170881910162,77.5797747306037,23239,1.85,16,4
"Varthuru",12.935373342926,77.733613606496,25067,26.98,8,4
"Bellanduru",12.9228741800138,77.6802085907247,20526,26.37,62,28
"Garudachar Playa",12.9859006423812,77.7172828232259,20920,6.8,16,2
"Kadugodi",12.9906877302874,77.7579088952072,22205,11.88,4,0
"Hagadur",12.9660702018756,77.7483647412138,25915,12.68,17,4
"Dodda Nekkundi",12.9681828471219,77.707823685904,22016,12.12,21,11
"HSR Layout",12.9137178618362,77.6464258750019,24749,6.98,70,25
"Bommanahalli",12.9007411057792,77.6212117570716,24307,1.85,0,0
"Jaraganahalli",12.9004208934461,77.5774880640308,23299,1.28,5,1
"Puttenahalli",12.8973177493566,77.5906030466232,20544,2.87,11,0
"Bilekhalli",12.8991566741957,77.6101589622278,22510,4.24,14,0
"Hongasandra",12.8967688850618,77.6275171672937,23058,2.16,1,1
"Mangammanapalya",12.8961667446936,77.6418230888484,27391,3.52,0,1
