"X","Neighborhood","Neighborhood.Latitude","Neighborhood.Longitude","Venue","Venue.Latitude","Venue.Longitude","Venue.Category"
76,"Bangalore",12.8634768571429,77.5312136666667,"Swadeshi's",12.8670918699457,77.5351412107814,"Indian Restaurant"
104,"Bangalore",12.8634768571429,77.6221249047619,"New Ganesh Bhavan",12.8591457564513,77.6136192710807,"Indian Restaurant"
108,"Bangalore",12.8634768571429,77.6448527142858,"Infosys - Lotus Food Court",12.8686857873636,77.6539508190898,"Food Court"
118,"Bangalore",12.8813545714286,77.5539414761905,"Adyar Ananda Bhavan (A2B)",12.8834158241579,77.5486949003418,"South Indian Restaurant"
119,"Bangalore",12.8813545714286,77.5539414761905,"Vasudev Adigas's",12.8825073563044,77.5466479314071,"Indian Restaurant"
120,"Bangalore",12.8813545714286,77.5539414761905,"Gowdara Mudde Mane",12.8827525727908,77.5462485257915,"Indian Restaurant"
122,"Bangalore",12.8813545714286,77.5539414761905,"Cafe Binge",12.8879297130719,77.5446418392332,"Café"
131,"Bangalore",12.8813545714286,77.5766692857143,"Sri Ganesh Chats",12.8800387427565,77.5795863341822,"Food Truck"
147,"Bangalore",12.8813545714286,77.5993970952381,"Ingu Tengu",12.883267922861,77.6075135133043,"South Indian Restaurant"
162,"Bangalore",12.8813545714286,77.5993970952381,"Kabab Magic",12.8822400962625,77.5960221328279,"Indian Restaurant"
163,"Bangalore",12.8813545714286,77.5993970952381,"Seed Cafe & Momo Adda",12.88340019953,77.6054896785331,"Dumpling Restaurant"
167,"Bangalore",12.8813545714286,77.5993970952381,"Aishwarya Park/land",12.8846250571746,77.5961508341057,"Bar"
168,"Bangalore",12.8813545714286,77.5993970952381,"Epicurys",12.885477,77.59616,"Mughlai Restaurant"
175,"Bangalore",12.8813545714286,77.5993970952381,"Athithi Residency",12.8883266301873,77.597107695527,"Indian Restaurant"
178,"Bangalore",12.8813545714286,77.5993970952381,"Laddoos",12.8897500271746,77.5981521606445,"Indian Restaurant"
180,"Bangalore",12.8813545714286,77.5993970952381,"California Burrito",12.890818,77.59869,"Burrito Place"
181,"Bangalore",12.8813545714286,77.5993970952381,"TN express",12.8911566267348,77.5985121967224,"Indian Restaurant"
182,"Bangalore",12.8813545714286,77.5993970952381,"Domino's Pizza",12.8900171803353,77.5978519154412,"Pizza Place"
185,"Bangalore",12.8813545714286,77.5993970952381,"The French Loaf / Wang's Kitchen",12.8914175872035,77.5984786231925,"Bakery"
