"Month","Close","Open","High","Low"
"15-Apr",1688.34,1625.21,1712.87,1613.83
"15-May",1609.19,1689.55,1734.33,1609.19
"15-Jun",1654.55,1610.07,1679.41,1610.07
"15-Jul",1669,1654.57,1669,1570.46
"15-Aug",1733.17,1668.13,1733.17,1603.72
"15-Sep",1642.97,1705.81,1740.22,1606.83
"15-Oct",1711.53,1644.52,1746.67,1603.48
"15-Nov",1771.05,1710.9,1873.53,1701.25
"15-Dec",1761.36,1771.05,1798.81,1698.93
"16-Jan",1784.92,1761.42,1788.08,1583.04
"16-Feb",1840.17,1785.01,1841.56,1688.13
"16-Mar",1871.15,1841.43,1923.5,1825.99
"16-Apr",1953.05,1860.53,1976.69,1833.61
"16-May",1899.01,1932.92,1957.18,1861.64
"16-Jun",1891.09,1899.14,1960.75,1841.73
"16-Jul",1944.62,1891.03,1959.86,1860.55
"16-Aug",1971.59,1950.49,1999.14,1902.74
"16-Sep",1978,1976.26,2063.13,1967.31
"16-Oct",1989.64,1981.02,2006.66,1946.78
"16-Nov",2104.91,1991.7,2116.38,1939.66
"16-Dec",2232.72,2110.69,2258.1,2110.69
"17-Jan",2217.39,2231.52,2293.99,2136.35
"17-Feb",2035.77,2219.19,2236.8,2027.05
"17-Mar",1995.9,2034.28,2076.71,1965.23
"17-Apr",2016.71,1998.55,2058.11,1900.72
"17-May",1900.38,2022.19,2044.24,1893.39
"17-Jun",1879.5,1900.89,1904.82,1774.56
"17-Jul",1919.53,1886.72,1972.49,1881.98
"17-Aug",2022.22,1924.77,2030.86,1921.34
"17-Sep",2077.19,2021.93,2086.65,1992.68
"17-Oct",2064.31,2077.16,2106.49,2038.26
"17-Nov",2100.62,2070.68,2191.71,2065.69
"17-Dec",2109.74,2102.54,2160.75,2082.29
"18-Jan",2286.33,2114.88,2306.71,2114.88
