"Month","Open","High","Low","Close"
"15-Aug",28089.09,28417.59,25298.42,26283.09
"15-Sep",26127.04,26471.82,24833.54,26154.83
"15-Oct",26344.19,27618.14,26168.71,26656.83
"15-Nov",26641.69,26824.3,25451.42,26145.67
"15-Dec",26201.27,26256.42,24867.73,26117.54
"16-Jan",26101.5,26197.27,23839.76,24870.69
"16-Feb",24982.22,25002.32,22494.61,23002
"16-Mar",23153.32,25479.62,23133.18,25341.86
"16-Apr",25301.7,26100.54,24523.2,25606.62
"16-May",25565.44,26837.2,25057.93,26667.96
"16-Jun",26684.46,27105.41,25911.33,26999.72
"16-Jul",27064.33,28240.2,27034.14,28051.86
"16-Aug",28083.08,28532.25,27627.97,28452.17
"16-Sep",28459.09,29077.28,27716.78,27865.96
"16-Oct",27997.29,28477.65,27488.3,27930.21
"16-Nov",27966.18,28029.8,25717.93,26652.81
"16-Dec",26756.66,26803.76,25753.74,26626.46
"17-Jan",26711.15,27980.39,26447.06,27655.96
"17-Feb",27669.08,29065.31,27590.1,28743.32
"17-Mar",28849.04,29824.62,28716.21,29620.5
"17-Apr",29737.73,30184.22,29241.48,29918.4
"17-May",30021.49,31255.28,29804.12,31145.8
"17-Jun",31117.09,31522.87,30680.66,30921.61
"17-Jul",31156.04,32672.66,31017.11,32514.94
"17-Aug",32579.8,32686.48,31128.02,31730.49
"17-Sep",31769.34,32524.11,31081.83,31283.72
"17-Oct",31537.81,33340.17,31440.48,33213.13
"17-Nov",33344.23,33865.95,32683.59,33149.35
"17-Dec",33247.66,34137.97,32565.16,34056.83
"18-Jan",34059.99,35542.17,33703.37,35511.58
